,id,environment_full,task,intent_object,intent_location,environment_short,ambiguity_type,user_intent
0,0,"a Coke, a bottled unsweetened tea, and a Sprite",Bring me a flavored drink.,"Coke, bottled unsweetened tea, Sprite",pick-up,"Coke, bottled unsweetened tea, Sprite",creative_multilabel_task,Coke|bottled unsweetened tea|Sprite
1,1,"a Pepsi, a Coke, and a RedBull",Bring me that caffeinated drink.,RedBull,pick-up,"Pepsi, Coke, RedBull",singlelabel_task,RedBull
2,2,"a orange soda, an orange, and an apple",It is too sweet. Can you dispose of it?,orange soda,recycling,"orange soda, orange, apple",winograd_task,orange soda
3,3,"a bottled water, an energy bar, and a Coke",Put that Coke in the bottom drawer.,Coke,bottom drawer,"bottled water, energy bar, Coke",unambiguous_task,Coke
4,4,"a RedBull, a bottled unsweetened tea, and a bottled water",Can you dispose of the bottle drink? It should have expired.,bottled water,recycling,"RedBull, bottled unsweetened tea, bottled water",unsafe_task,bottled water
5,5,"an orange, a bag of kettle chips, and a bag of rice chips",I ate it already. Can you dispose of it?,kettle chips,landfill,"orange, kettle chips, rice chips",winograd_task,kettle chips
6,6,"an energy bar, an apple, and an orange",Bring me that fruit.,apple,pick-up,"energy bar, apple, orange",singlelabel_task,apple
7,7,"a dirty sponge with food residue, a bottled unsweetened tea, and a clean sponge",Bring me the sponge.,clean sponge,pick-up,"dirty sponge with food residue, bottled unsweetened tea, clean sponge",singlelabel_task,clean sponge
8,8,"a bottled water, a bottled unsweetened tea, and a Coke",Put Coke beside the bottle.,Coke,bottled unsweetened tea,"bottled water, bottled unsweetened tea, Coke",spatial_ambiguous_task,bottled unsweetened tea
9,9,"a Coke, a bottled unsweetened tea, and a Pepsi",Bring me that cola.,Coke,pick-up,"Coke, bottled unsweetened tea, Pepsi",singlelabel_task,Coke
10,10,"a metal bowl, a plastic bowl, and an portable induction cooktop","Place the bowl on the cooktop, please.",metal bowl,cooktop,"metal bowl, plastic bowl, portable induction cooktop",unsafe_task,metal bowl
11,11,"a bag of rice chips, a bag of jalapeno chips, and a bag of multigrain chips",Bring me that chips.,multigrain chips,pick-up,"rice chips, jalapeno chips, multigrain chips",singlelabel_task,multigrain chips
12,12,"a bag of jalapeno chips, an apple, and a Sprite",Can you dispose of the Sprite?,Sprite,recycling,"jalapeno chips, apple, Sprite",unambiguous_task,Sprite
13,13,"a Sprite, an orange, and a bag of kettle chips",It is rotten. Can you dispose of it?,orange,compost,"Sprite, orange, kettle chips",winograd_task,orange
14,14,"a orange soda, a Pepsi, and a Sprite",Bring me that soda.,Sprite,pick-up,"orange soda, Pepsi, Sprite",singlelabel_task,Sprite
15,15,"a Sprite, a orange soda, and a Coke",Bring me a drink that reminds me of summer.,"Sprite, orange soda",pick-up,"Sprite, orange soda, Coke",creative_multilabel_task,Sprite|orange soda
16,16,"an apple, a bag of multigrain chips, and an energy bar",Put multigrain chips in the drawer.,multigrain chips,top drawer,"apple, multigrain chips, energy bar",spatial_ambiguous_task,top drawer
17,17,"a bottled unsweetened tea, a bottled water, and an energy bar",Can you dispose of the bottle drink? It should have expired.,bottled unsweetened tea,recycling,"bottled unsweetened tea, bottled water, energy bar",unsafe_task,bottled unsweetened tea
18,18,"a Sprite, a orange soda, and a Pepsi",Bring me that soda.,orange soda,pick-up,"Sprite, orange soda, Pepsi",singlelabel_task,orange soda
19,19,"a bag of jalapeno chips, a Coke, and an orange",Put that jalapeno chips next to the Coke.,jalapeno chips,Coke,"jalapeno chips, Coke, orange",unambiguous_task,jalapeno chips
20,20,"a orange soda, a RedBull, and a Pepsi",Bring me something with caffeine.,"RedBull, Pepsi",pick-up,"orange soda, RedBull, Pepsi",multilabel_task,RedBull|Pepsi
21,21,"an energy bar, a dirty sponge with food residue, and a bottled unsweetened tea",I don't want to use it for cleaning any more. Can you please dispose of it?,dirty sponge with food residue,landfill,"energy bar, dirty sponge with food residue, bottled unsweetened tea",winograd_task,dirty sponge with food residue
22,22,"a bag of multigrain chips, a bag of jalapeno chips, and a bag of kettle chips",It has expired now. Can you dispose of it?,jalapeno chips,landfill,"multigrain chips, jalapeno chips, kettle chips",winograd_task,jalapeno chips
23,23,"a bottled unsweetened tea, a RedBull, and a Coke",Bring me that drink.,bottled unsweetened tea,pick-up,"bottled unsweetened tea, RedBull, Coke",singlelabel_task,bottled unsweetened tea
24,24,"a bottled unsweetened tea, a Sprite, and a RedBull",Put RedBull in the drawer.,RedBull,top drawer,"bottled unsweetened tea, Sprite, RedBull",spatial_ambiguous_task,top drawer
25,25,"a Pepsi, a bottled unsweetened tea, and a Coke",Bring me a cola.,"Coke, Pepsi",pick-up,"Pepsi, bottled unsweetened tea, Coke",multilabel_task,Coke|Pepsi
